Date,Firm,To Grade,From Grade,Action,stock_symbol
2016-10-17 08:14:35,Credit Suisse,Outperform,,main,FB
2016-11-03 09:49:07,Wedbush,Outperform,,main,FB
2016-11-03 10:23:01,UBS,Buy,,main,FB
2016-11-03 11:07:01,Jefferies,Buy,,main,FB
2016-11-03 11:28:15,JMP Securities,Market Outperform,,main,FB
2016-11-03 11:28:16,Canaccord Genuity,Buy,,main,FB
2016-11-03 11:31:27,BMO Capital,Market Perform,,main,FB
2016-11-03 11:50:36,Cowen & Co.,Outperform,,main,FB
2016-11-03 11:54:04,RBC Capital,Outperform,,main,FB
2016-11-03 12:02:58,Cantor Fitzgerald,Buy,,main,FB
2016-11-03 12:46:39,BTIG Research,Neutral,Buy,down,FB
2016-11-03 12:48:57,Wells Fargo,Outperform,,main,FB
2017-01-03 15:35:50,Aegis Capital,Buy,,init,FB
2017-01-13 15:29:27,Raymond James,Strong Buy,Outperform,up,FB
2017-02-02 14:10:45,Pivotal Research,Hold,Buy,down,FB
2017-03-21 12:50:43,BTIG Research,Buy,Neutral,up,FB
2017-03-28 21:21:39,Barclays,Overweight,,init,FB
2017-04-17 13:15:15,Credit Suisse,Outperform,,main,FB
2017-07-21 15:48:36,Deutsche Bank,Buy,,main,FB
2017-07-27 17:37:11,Raymond James,Strong Buy,,main,FB
2017-07-31 09:54:43,Pivotal Research,Sell,Hold,down,FB
2017-08-16 12:15:42,SunTrust Robinson Humphrey,Buy,,init,FB
2017-09-27 15:10:55,Wells Fargo,Outperform,,main,FB
2017-10-02 20:15:26,Morgan Stanley,Overweight,,main,FB
2017-10-27 12:35:28,Monness Crespi Hardt,Buy,Neutral,up,FB
2017-11-02 12:19:13,Citigroup,Buy,,main,FB
2017-11-02 12:53:48,KeyBanc,Overweight,,main,FB
2017-11-02 13:45:40,Morgan Stanley,Overweight,,main,FB
2017-11-02 16:13:23,Barclays,Overweight,,main,FB
2017-11-02 16:33:16,Oppenheimer,Outperform,,main,FB
2017-11-02 16:44:00,Credit Suisse,Outperform,,main,FB
2017-11-02 20:13:09,Canaccord Genuity,Buy,,main,FB
2017-12-06 14:05:53,Evercore ISI Group,Outperform,,init,FB
2018-02-01 11:05:31,KeyBanc,Overweight,Overweight,main,FB
2018-02-01 13:36:51,Barclays,Overweight,Overweight,main,FB
2018-02-01 14:54:08,Bank of America,Buy,Buy,main,FB
2018-02-01 14:56:35,Morgan Stanley,Overweight,Overweight,main,FB
2018-02-01 15:18:06,BMO Capital,Market Perform,Market Perform,main,FB
2018-02-02 15:02:29,Argus,Buy,,main,FB
2018-03-22 11:18:54,Stifel Nicolaus,Hold,Hold,main,FB
2018-03-26 12:33:01,Baird,Outperform,Outperform,main,FB
2018-03-27 15:19:07,Bank of America,Buy,Buy,main,FB
2018-04-04 11:29:11,Morgan Stanley,Overweight,Overweight,main,FB
2018-04-20 12:32:48,Credit Suisse,Outperform,Outperform,main,FB
2018-04-20 17:40:11,Jefferies,Buy,Buy,main,FB
2018-04-26 11:40:44,Stifel Nicolaus,Hold,Hold,main,FB
2018-04-26 12:46:28,Wedbush,Outperform,Outperform,main,FB
2018-04-26 12:57:04,Morgan Stanley,Overweight,Overweight,main,FB
2018-04-26 13:17:25,Barclays,Overweight,Overweight,main,FB
2018-04-26 13:35:09,Credit Suisse,Outperform,Outperform,main,FB
2018-04-26 13:51:52,Raymond James,Strong Buy,Strong Buy,main,FB
2018-04-26 14:16:45,UBS,Buy,Buy,main,FB
2018-04-26 21:52:36,Stifel Nicolaus,Buy,Hold,up,FB
2018-04-27 13:16:05,Argus,Buy,Buy,main,FB
2018-05-05 13:32:14,Argus,Buy,,main,FB
2018-07-11 11:49:27,Nomura,Buy,,init,FB
2018-07-13 13:52:14,Cowen & Co.,Outperform,Outperform,main,FB
2018-07-13 16:38:28,Barclays,Overweight,Overweight,main,FB
2018-07-16 12:52:53,Credit Suisse,Outperform,Outperform,main,FB
2018-07-20 11:31:06,Stifel Nicolaus,Buy,Buy,main,FB
2018-07-25 14:18:42,BMO Capital,Market Perform,Market Perform,main,FB
2018-07-26 11:23:08,KeyBanc,Overweight,Overweight,main,FB
2018-07-26 11:40:18,Stifel Nicolaus,Buy,Buy,main,FB
2018-07-26 11:50:50,Raymond James,Outperform,Strong Buy,down,FB
2018-07-26 12:13:51,Morgan Stanley,Overweight,Overweight,main,FB
2018-07-26 12:26:07,UBS,Neutral,Buy,down,FB
2018-07-26 13:11:51,Nomura,Neutral,Buy,down,FB
2018-07-26 13:19:20,Credit Suisse,Outperform,Outperform,main,FB
2018-07-27 11:43:48,JMP Securities,Market Outperform,Market Outperform,main,FB
2018-07-27 12:41:01,JP Morgan,Overweight,Overweight,main,FB
2018-07-27 13:23:14,Edward Jones,Hold,Buy,down,FB
2018-09-04 12:35:51,Moffett Nathanson,Neutral,Buy,down,FB
2018-10-03 18:27:19,Argus,Buy,Buy,main,FB
2018-10-08 11:54:43,Credit Suisse,Outperform,Outperform,main,FB
2018-10-12 11:24:06,Morgan Stanley,Overweight,Overweight,main,FB
2018-10-16 11:32:16,Citigroup,Buy,Buy,main,FB
2018-10-24 11:29:18,Bank of America,Buy,Buy,main,FB
2018-10-31 13:20:20,KeyBanc,Overweight,Overweight,main,FB
2018-10-31 13:29:53,Canaccord Genuity,Buy,Buy,main,FB
2018-10-31 13:43:52,Deutsche Bank,Buy,Buy,main,FB
2018-10-31 14:18:11,Citigroup,Buy,Buy,main,FB
2018-10-31 14:45:01,BMO Capital,Market Perform,Market Perform,main,FB
2018-10-31 14:51:34,Nomura,Neutral,Neutral,main,FB
